Date,Close/Last,Volume,Open,High,Low
09/09/2021,$86.11,2941662,$85.51,$87.69,$85.26
09/08/2021,$86.00,1443406,$84.77,$86.51,$84.49
09/07/2021,$85.09,2076103,$86.62,$86.70,$84.27
09/03/2021,$86.75,2245727,$87.41,$87.41,$85.69
09/02/2021,$87.75,2130240,$88.48,$88.66,$86.88
09/01/2021,$88.18,2580963,$87.92,$88.98,$87.25
08/31/2021,$87.53,3051622,$85.56,$87.66,$85.42
08/30/2021,$85.76,1565889,$85.55,$86.14,$85.09
08/27/2021,$85.64,2041930,$85.18,$86.52,$85.00
08/26/2021,$84.67,1425964,$85.30,$85.73,$84.46
08/25/2021,$84.89,1544502,$84.53,$85.73,$84.00
08/24/2021,$84.48,1311965,$84.20,$84.63,$83.39
08/23/2021,$84.18,1071387,$84.72,$84.98,$83.46
08/20/2021,$84.22,1853012,$83.81,$84.74,$82.66
08/19/2021,$84.08,2000119,$83.86,$84.97,$83.02
08/18/2021,$84.30,1882154,$85.45,$85.47,$84.09
08/17/2021,$85.59,1469266,$84.68,$85.835,$84.28
08/16/2021,$85.26,1576682,$84.77,$85.80,$84.53
08/13/2021,$85.11,2437596,$83.74,$85.18,$83.5215
08/12/2021,$83.74,1262872,$84.17,$84.17,$83.295
08/11/2021,$83.95,1974995,$84.93,$84.93,$83.81
08/10/2021,$85.04,3813129,$85.50,$85.93,$84.93
08/09/2021,$85.56,1687108,$85.11,$85.65,$84.47
08/06/2021,$85.18,2090948,$86.77,$87.31,$84.905
08/05/2021,$86.58,1246620,$85.65,$86.60,$85.33
08/04/2021,$85.10,1892019,$86.95,$87.25,$84.96
08/03/2021,$87.11,1656367,$86.89,$87.22,$86.12
08/02/2021,$86.27,1245993,$87.38,$89.18,$86.18
07/30/2021,$86.86,2386018,$88.58,$89.50,$86.79
07/29/2021,$87.73,1218235,$87.41,$88.63,$87.41
07/28/2021,$87.39,986832,$88.49,$88.49,$86.95
07/27/2021,$88.27,1629552,$87.31,$88.575,$86.74
07/26/2021,$87.60,1582290,$87.26,$88.28,$86.27
07/23/2021,$87.76,1104205,$88.08,$88.385,$87.09
07/22/2021,$87.35,1303645,$87.86,$87.90,$86.70
07/21/2021,$87.99,1591637,$88.10,$89.42,$87.76
07/20/2021,$88.02,2259701,$84.93,$88.42,$84.31
07/19/2021,$84.43,3044353,$88.49,$88.49,$84.10
07/16/2021,$89.68,2041377,$89.10,$89.80,$88.9408
07/15/2021,$88.60,2088211,$87.91,$88.69,$87.66
07/14/2021,$88.20,2672263,$86.68,$88.82,$86.56
07/13/2021,$86.97,2904044,$87.55,$87.96,$86.385
07/12/2021,$87.53,1806673,$85.97,$87.79,$85.97
07/09/2021,$86.43,1844949,$85.39,$86.49,$84.9201
07/08/2021,$84.89,2436015,$84.05,$85.415,$83.62
07/07/2021,$84.87,2448850,$84.95,$85.225,$83.96
07/06/2021,$85.14,2390390,$84.61,$85.30,$83.205
07/02/2021,$84.92,2208823,$84.00,$84.97,$83.73
07/01/2021,$83.73,2249068,$83.41,$84.57,$82.82
06/30/2021,$83.10,4387980,$83.58,$84.23,$82.72
06/29/2021,$83.41,1657430,$83.00,$83.825,$82.67
06/28/2021,$82.96,2535789,$84.02,$84.02,$82.34
06/25/2021,$84.02,2230038,$83.80,$84.02,$83.37
06/24/2021,$83.46,2259449,$83.65,$83.83,$82.29
06/23/2021,$83.47,2698215,$82.21,$83.8085,$81.80
06/22/2021,$82.22,3915947,$81.07,$83.18,$80.925
06/21/2021,$80.58,1818242,$78.74,$80.70,$78.35
06/18/2021,$78.51,5532176,$80.45,$80.60,$78.48
06/17/2021,$80.55,2149728,$80.71,$81.24,$80.13
06/16/2021,$80.80,2150124,$81.04,$82.25,$80.66
06/15/2021,$81.16,2742429,$82.13,$82.39,$81.11
06/14/2021,$81.21,1787557,$80.21,$81.365,$79.77
06/11/2021,$79.68,1253469,$79.32,$79.68,$78.555
06/10/2021,$79.14,2015979,$78.82,$79.41,$78.19
06/09/2021,$78.84,1563883,$78.57,$79.37,$78.31
06/08/2021,$78.15,2177042,$77.33,$78.80,$77.00
06/07/2021,$76.87,1266260,$76.68,$77.47,$76.22
06/04/2021,$76.45,1535145,$76.91,$76.91,$75.60
06/03/2021,$76.71,1644890,$77.80,$77.885,$76.445
06/02/2021,$77.82,2103272,$77.00,$77.92,$76.41
06/01/2021,$76.70,1687279,$75.025,$76.79,$74.59
05/28/2021,$74.77,1552304,$74.67,$75.35,$74.35
05/27/2021,$74.10,1649719,$75.49,$75.49,$74.10
05/26/2021,$74.99,1024520,$74.88,$75.51,$74.44
05/25/2021,$74.83,1168727,$74.30,$75.16,$74.04
05/24/2021,$74.66,1384829,$74.00,$75.35,$73.69
05/21/2021,$73.28,1219640,$73.64,$74.47,$72.86
05/20/2021,$73.44,1712698,$72.54,$73.77,$72.27
05/19/2021,$72.82,1832854,$72.38,$73.07,$71.34
05/18/2021,$73.13,1200443,$73.09,$74.00,$72.47
05/17/2021,$73.12,1970555,$73.17,$73.61,$72.59
05/14/2021,$73.22,1142427,$72.58,$73.62,$72.555
05/13/2021,$72.08,1874321,$71.00,$73.18,$71.00
05/12/2021,$71.04,1995800,$72.95,$73.16,$70.74
05/11/2021,$73.09,1708242,$73.87,$73.87,$72.21
05/10/2021,$74.31,2556893,$74.70,$76.15,$74.17
05/07/2021,$74.70,1831089,$73.63,$75.10,$73.30
05/06/2021,$73.51,1322569,$72.81,$73.62,$72.71
05/05/2021,$72.65,1358231,$74.91,$73.85,$72.20
05/04/2021,$74.91,1432092,$76.59,$77.06,$74.2154
05/03/2021,$76.49,2119298,$75.50,$77.005,$75.11
04/30/2021,$75.03,2734302,$75.57,$75.58,$74.70
04/29/2021,$76.08,1814041,$75.00,$77.54,$74.70
04/28/2021,$75.52,2318309,$76.24,$76.68,$75.33
04/27/2021,$76.47,1715020,$75.99,$76.70,$75.66
04/26/2021,$75.89,1026513,$76.00,$76.65,$75.71
04/23/2021,$75.44,1553101,$76.10,$76.18,$75.06
04/22/2021,$75.63,1862052,$76.58,$76.82,$75.58
04/21/2021,$76.36,1424274,$76.03,$76.77,$75.82
04/20/2021,$76.12,1837200,$74.88,$76.39,$74.675
04/19/2021,$74.88,1492412,$75.68,$75.69,$74.77
04/16/2021,$75.69,1190763,$76.80,$76.87,$75.62
04/15/2021,$76.25,1888267,$75.54,$76.61,$75.115
04/14/2021,$75.09,1358323,$75.94,$76.41,$75.01
04/13/2021,$75.79,1677806,$75.03,$76.19,$74.83
04/12/2021,$75.39,1894202,$75.79,$75.79,$74.485
04/09/2021,$75.11,1779159,$75.46,$76.10,$74.93
04/08/2021,$75.62,2059487,$75.28,$76.18,$75.00
04/07/2021,$75.20,3416435,$74.10,$75.45,$74.10
04/06/2021,$74.16,2586450,$72.80,$74.31,$72.67
04/05/2021,$72.80,2175911,$73.54,$73.81,$71.87
04/01/2021,$73.25,2178725,$72.03,$73.36,$71.34
03/31/2021,$71.63,2828986,$72.30,$72.78,$71.34
03/30/2021,$72.93,1865303,$72.38,$74.04,$71.96
03/29/2021,$71.68,1546126,$72.85,$73.00,$71.32
03/26/2021,$73.39,2233712,$71.66,$73.53,$71.41
03/25/2021,$71.16,1685709,$71.06,$71.68,$69.291
03/24/2021,$71.18,2830097,$70.91,$72.239,$70.60
03/23/2021,$70.99,2425274,$70.80,$71.6075,$70.32
03/22/2021,$71.00,1410939,$70.88,$71.53,$70.17
03/19/2021,$70.72,3552377,$71.61,$72.62,$70.50
03/18/2021,$71.85,1605283,$73.24,$73.49,$71.50
03/17/2021,$73.69,1514370,$73.11,$74.29,$72.61
03/16/2021,$72.91,1954880,$74.23,$74.28,$72.21
03/15/2021,$74.55,1947287,$74.68,$75.10,$73.40
03/12/2021,$74.12,2342516,$73.56,$74.14,$72.76
03/11/2021,$73.37,2531638,$73.69,$76.00,$73.14
03/10/2021,$73.97,2077863,$72.68,$74.19,$71.58
03/09/2021,$72.76,2687352,$72.40,$73.21,$71.71
03/08/2021,$72.23,2032941,$71.01,$73.30,$69.96
03/05/2021,$70.26,2322369,$70.04,$70.76,$68.46
03/04/2021,$69.73,2523610,$69.31,$70.39,$68.23
03/03/2021,$69.02,2741127,$68.06,$69.60,$67.95
03/02/2021,$68.62,2594739,$68.62,$68.93,$67.41
03/01/2021,$68.48,2651790,$69.19,$70.69,$68.46
02/26/2021,$67.90,3739809,$70.43,$70.605,$67.87
02/25/2021,$70.28,2754726,$73.285,$74.13,$69.915
02/24/2021,$73.60,3674997,$70.96,$73.71,$70.94
02/23/2021,$70.60,2830761,$70.60,$71.13,$69.59
02/22/2021,$69.89,3172356,$68.00,$71.45,$68.00
02/19/2021,$68.39,2864107,$68.29,$68.87,$67.43
02/18/2021,$68.17,2414587,$67.53,$68.365,$66.94
02/17/2021,$67.29,1791017,$66.75,$67.61,$65.65
02/16/2021,$67.17,3703138,$67.59,$68.00,$66.35
02/12/2021,$67.51,2629544,$66.39,$67.60,$66.10
02/11/2021,$66.43,2900159,$65.01,$66.85,$64.485
02/10/2021,$64.93,2625070,$63.21,$66.20,$62.73
02/09/2021,$63.23,2134032,$64.00,$64.00,$62.47
02/08/2021,$63.21,1481329,$63.70,$63.94,$62.95
02/05/2021,$64.02,1977411,$64.02,$64.94,$63.80
02/04/2021,$63.91,2367990,$62.55,$64.07,$62.10
02/03/2021,$62.09,2284777,$61.25,$62.36,$60.15
02/02/2021,$62.17,2541089,$62.81,$63.05,$61.86
02/01/2021,$62.51,2166764,$60.99,$62.54,$59.862
01/29/2021,$60.60,2746651,$61.17,$61.82,$59.45
01/28/2021,$61.78,2087226,$59.83,$63.21,$59.75
01/27/2021,$59.79,2102602,$61.48,$61.67,$59.38
01/26/2021,$61.79,2218706,$62.48,$63.29,$61.24
01/25/2021,$62.56,2182021,$62.54,$63.7505,$61.47
01/22/2021,$63.07,2111298,$61.37,$63.27,$61.21
01/21/2021,$61.85,2244462,$61.56,$62.24,$60.80
01/20/2021,$62.13,3441981,$60.85,$62.47,$60.48
01/19/2021,$61.00,2995276,$63.96,$64.10,$60.60
01/15/2021,$64.25,2649044,$63.43,$64.66,$62.82
01/14/2021,$63.56,1319727,$64.02,$64.59,$63.38
01/13/2021,$63.81,1596919,$61.44,$63.87,$61.44
01/12/2021,$61.09,2285713,$61.48,$61.73,$60.71
01/11/2021,$61.18,1748182,$62.36,$62.50,$61.07
01/08/2021,$62.68,1941032,$62.04,$63.015,$61.41
01/07/2021,$63.30,1933164,$64.36,$64.47,$62.39
01/06/2021,$64.58,2458222,$63.24,$64.97,$62.74
01/05/2021,$61.96,1986460,$61.80,$62.655,$61.60
01/04/2021,$61.60,2235509,$64.64,$64.70,$61.50
12/31/2020,$64.62,1424937,$63.55,$64.74,$62.71
12/30/2020,$63.80,1195243,$63.23,$64.58,$63.14
12/29/2020,$63.18,1364422,$63.58,$63.7476,$62.60
12/28/2020,$62.97,4210448,$63.54,$63.63,$62.55
12/24/2020,$63.52,547457,$62.68,$63.60,$62.32
12/23/2020,$62.36,1564720,$62.50,$63.43,$61.82
12/22/2020,$62.67,3636736,$62.62,$63.05,$61.85
12/21/2020,$62.65,4141219,$63.17,$63.925,$62.05
12/18/2020,$64.02,5336180,$66.08,$66.43,$63.0391
12/17/2020,$65.95,3185051,$66.90,$67.12,$64.77
12/16/2020,$66.49,3326673,$66.00,$67.09,$65.60
12/15/2020,$65.87,2409207,$63.67,$65.90,$62.87
12/14/2020,$63.24,3389913,$65.32,$65.45,$63.20
12/11/2020,$64.25,2120861,$63.67,$64.435,$63.09
12/10/2020,$64.03,1951560,$64.30,$65.53,$63.68
12/09/2020,$65.02,3098401,$65.24,$65.64,$64.55
12/08/2020,$64.95,3414852,$65.29,$66.535,$64.775
12/07/2020,$65.72,3066291,$64.46,$66.50,$64.46
12/04/2020,$64.20,2386234,$64.00,$64.615,$63.58
12/03/2020,$63.19,2719555,$61.52,$64.19,$61.52
12/02/2020,$62.48,2062175,$62.64,$63.81,$62.37
12/01/2020,$63.49,1961920,$64.08,$64.51,$63.27
11/30/2020,$62.98,3714362,$64.95,$64.96,$62.96
11/27/2020,$64.54,703389,$65.25,$65.26,$64.01
11/25/2020,$65.26,1862753,$64.88,$65.575,$64.45
11/24/2020,$65.47,3082736,$64.98,$65.95,$64.56
11/23/2020,$63.68,1926087,$65.07,$65.80,$63.41
11/20/2020,$64.51,2015037,$64.93,$65.05,$63.68
11/19/2020,$65.20,2916914,$63.44,$65.36,$62.37
11/18/2020,$63.83,2353229,$65.96,$66.88,$63.77
11/17/2020,$65.95,3328001,$65.38,$66.66,$64.27
11/16/2020,$66.42,2664409,$67.65,$68.24,$65.375
11/13/2020,$65.57,2881585,$62.81,$65.93,$62.81
